date,symbol,variant,i,dir,by,conflict,time,window,mode,expiry,cls,fade,lag_bars,onset_age_s,approved,reasons,confirm_delay_s,pnl1,mfe1,mae1,tmae1,spread1,t05_1,t1_1,t2_1,good1,hit1first1,remain1,optcons1,delay_to_entry1,pnl2,mfe2,mae2,tmae2,spread2,t05_2,t1_2,t2_2,good2,hit1first2,remain2,optcons2,delay_to_entry2,dim_A_futures_strength,dim_B_futures_acceleration,dim_C_option_acceleration,dim_D_direction_agreement,dim_E_lead_lag_bars(+ = option first),dim_F_liquidity(-spread),dim_G_earlyness(-onset age s),dim_H_reversal_risk(-retrace),dim_I_time_remaining_s
2026-09-18,SENSEX,CURRENT_12A,336,-1,FUTURES_LAST_TRADE,False,15:23:05,MODE B 15:15-15:30,MODE_B,False,NO_CLEAR_ONSET,False,,50,False,"['WINDOW', 'NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.7167630057803521,0.5664739884393037,-6.76300578034682,285.0,0.1967,65,,,False,False,0.4260731319551421,0.5929487179487171,55,-0.6938020351526365,0.5897317298797436,-6.7414431082331125,280.0,0.0578,60,,,False,False,0.3767885532591871,0.6185897435897413,60,57.0,58.9,0.48126029323793046,1.0,,-0.0692,-50,-0.15000000000873115,-485
2026-09-18,SENSEX,CURRENT_12A,348,-1,FUTURES_LAST_TRADE,False,15:24:05,MODE B 15:15-15:30,MODE_B,False,NO_CLEAR_ONSET,False,,35,False,"['WINDOW', 'NOT_EARLY', 'OPTION_NOT_RESPONDING']",,-1.5357967667436438,0.450346420323323,-6.87066974595843,225.0,0.0346,,,,False,False,0.28010471204100723,0.5654205607476676,40,-1.8597175984387606,-0.34439214785902883,-7.415910917231089,220.0,0.1379,,,,False,False,0.0,1.0,45,7.3,30.9,0.17943935003983127,1.0,,-0.3004,-35,-0.5749999999970896,-545
2026-09-18,SENSEX,CURRENT_12A,392,1,FUTURES_LAST_TRADE,False,15:27:45,MODE B 15:15-15:30,MODE_B,False,SYNCHRONIZED,False,0,60,False,"['WINDOW', 'NOT_EARLY', 'OPTION_NOT_RESPONDING']",,-2.1727679747168818,0.5135633394785327,-2.501975243613379,130.0,0.2769,5,,,False,False,0.07817589576556908,0.7845303867403314,65,-0.5881584106652725,-0.26140373807345446,-3.2283361652071685,125.0,0.2355,,,,False,False,0.0,1.0,70,91.8,89.4,0.05219871461514697,1.0,0,-0.2108,-60,-0.0,-765
2026-09-17,NIFTY,RANDOM,180,1,RANDOM,False,15:10:05,15:09-15:12,MODE_A,False,SYNCHRONIZED,True,-1,30,True,[],10,-0.12875536480687183,6.351931330472108,-1.7596566523605126,105.0,0.2148,10,,,False,False,0.7148288973381579,0.19414893617021295,45,0.08576329331047045,6.260720411663819,-1.84391080617495,100.0,0.2146,5,,,False,False,0.5703422053231308,0.20478723404255275,50,27.3,0.0,-0.3464374801688697,0.0,-1,-0.087,-30,-1.2999999999992724,295
2026-09-17,NIFTY,RANDOM,127,-1,RANDOM,False,15:05:40,15:03-15:06,MODE_A,False,FALSE_OPTION_MOVE,False,,10,True,[],0,-1.0130856901646288,-0.2532714225411542,-5.192064162093716,85.0,0.169,,,,False,False,0.8358208955227122,1.0,15,-1.4887282007656317,0.5104210974053667,-4.466184602296895,80.0,0.2129,,,,False,False,0.8358208955227122,0.49230769230769056,20,40.9,0.0,-0.3064561274158376,1.0,,-0.2109,-10,-0.0,560
2026-09-17,NIFTY,RANDOM,227,-1,RANDOM,False,15:14:00,15:12-15:15,MODE_A,False,FALSE_OPTION_MOVE,False,,10,True,[],5,-1.836466987319628,-1.2680367293397365,-7.7393965894184475,160.0,0.3065,,,,False,False,0.8222222222215755,1.0,20,-0.7515473032714363,-0.17683465959327024,-6.719717064544646,155.0,0.177,,,,False,False,0.6888888888885655,1.0,25,54.5,32.2,-0.26496383102063753,1.0,,-0.2641,-10,-0.0,60
2026-09-17,NIFTY,RANDOM,194,-1,RANDOM,False,15:11:15,15:09-15:12,MODE_A,False,OPTION_LEAD,False,3,50,False,"['NOT_EARLY', 'OPTION_NOT_RESPONDING']",,-0.12647554806070108,1.2647554806070826,-8.516020236087684,200.0,0.1688,35,40,,True,True,0.8231707317072441,0.6201117318435755,55,-0.3369839932603249,1.1794439764111133,-9.435551811288965,300.0,0.2108,30,35,,True,True,0.6402439024389676,0.6368715083798889,60,54.1,0.0,-0.19152796031307864,1.0,3,-0.2537,-50,-1.2000000000007276,225
2026-09-17,NIFTY,RANDOM,229,-1,RANDOM,False,15:14:10,15:12-15:15,MODE_A,False,FALSE_OPTION_MOVE,False,,20,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.7515473032714363,-0.17683465959327024,-6.719717064544646,155.0,0.177,,,,False,False,0.6888888888885655,1.0,25,-2.844444444444447,0.3555555555555606,-6.222222222222222,150.0,0.2225,,,,False,False,0.0,0.45238095238094816,30,45.0,0.0,-2.1676195883225597,1.0,,-0.3065,-20,-1.5999999999985448,50
2026-09-17,NIFTY,RANDOM,148,-1,RANDOM,False,15:07:25,15:06-15:09,MODE_A,False,FALSE_OPTION_MOVE,False,,5,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,0.5704256252742356,5.397103992979369,-0.30715225976306143,70.0,0.2636,10,20,35,True,True,0.9926470588236356,0.17419354838709605,10,0.39421813403415557,5.212439772229512,-0.4818221638195457,65.0,0.1315,5,15,30,True,True,1.0,0.20967741935483872,15,8.9,12.1,0.284567320149784,1.0,,-0.2627,-5,-0.0,455
2026-09-17,NIFTY,RANDOM,95,1,RANDOM,False,15:03:00,15:03-15:06,MODE_A,False,OPTION_LEAD,False,4,55,False,['NOT_EARLY'],,-0.2181500872600349,2.2687609075043706,-2.6614310645724233,115.0,0.2184,5,5,,True,True,0.658402203856937,0.40721649484536016,60,-1.6344086021505426,0.8172043010752713,-4.043010752688175,110.0,0.2584,,,,False,False,0.5454545454545819,0.7422680412371131,65,46.2,0.0,-0.8033566027910142,1.0,4,-0.1737,-55,-1.4000000000014552,720
2026-09-17,NIFTY,RANDOM,156,-1,RANDOM,False,15:08:05,15:06-15:09,MODE_A,False,OPTION_LEAD,False,5,20,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.8985879332477511,2.7813436029097134,-2.7813436029097134,30.0,0.2571,115,115,,False,False,0.6808510638298366,0.5483870967741935,25,0.3466204506065784,4.072790294627373,-1.5597920277296458,25.0,0.0867,5,75,110,False,False,0.7606382978723775,0.3741935483870957,30,84.7,0.0,2.0085146703078354,1.0,5,-0.1709,-20,-2.9499999999970896,415
2026-09-17,NIFTY,RANDOM,61,1,RANDOM,False,15:00:10,15:00-15:03,MODE_A,False,NO_CLEAR_ONSET,False,,0,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,0.49909255898366345,5.217785843920145,-1.451905626134309,5.0,0.2271,20,25,30,True,False,1.0,0.0,5,1.745521359669275,6.522737712448332,0.551217271474514,5.0,0.2299,5,10,20,True,True,1.0,0.0,10,88.0,0.0,0.42399226278884505,0.0,,-0.227,0,-0.0,890
2026-09-17,NIFTY,RANDOM,154,-1,RANDOM,False,15:07:55,15:06-15:09,MODE_A,False,OPTION_LEAD,False,5,10,True,[],0,1.1678200692041598,3.8927335640138407,-1.7301038062283738,40.0,0.1732,5,5,,True,True,0.3617021276596733,0.3935483870967738,15,-0.5121638924455898,2.5181391378574376,-3.0303030303030396,35.0,0.1709,120,,,False,False,0.6755319148933576,0.5935483870967735,20,97.4,92.6,-0.9831014876114891,1.0,5,-0.215,-10,-0.0,425
2026-09-17,NIFTY,RANDOM,182,-1,RANDOM,False,15:10:15,15:09-15:12,MODE_A,False,SYNCHRONIZED,False,2,55,False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.3417343015805139,2.6057240495514713,-7.304570696283637,260.0,0.2566,35,60,100,True,False,0.969230769231217,0.418502202643172,60,-1.026957637997423,2.7813436029097134,-7.145913564398796,255.0,0.1713,30,50,90,True,False,1.0,0.392070484581497,65,62.8,0.0,-0.1526866893958604,0.0,2,-0.3001,-55,-3.9500000000007276,285
2026-09-17,NIFTY,RANDOM,129,-1,RANDOM,False,15:05:50,15:03-15:06,MODE_A,False,FALSE_OPTION_MOVE,True,,20,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-1.5306122448979569,0.4676870748299417,-4.506802721088434,75.0,0.2128,,,,False,False,0.8656716417909152,0.5230769230769196,25,-1.9889970376639934,0.0,-4.951333051206101,70.0,0.1694,,,,False,False,0.9104477611943054,0.8769230769230751,30,14.6,0.0,-0.6339318836561844,0.0,,-0.2129,-20,-0.2000000000007276,550
2026-09-17,NIFTY,RANDOM,223,1,RANDOM,False,15:13:40,15:12-15:15,MODE_A,False,SYNCHRONIZED,False,0,40,False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.0416666666666643,3.250000000000005,-0.9583333333333381,80.0,0.1251,35,45,50,True,True,0.5958188153310202,0.4486301369863004,45,1.4613778705636742,3.4655532359081467,-0.7515657620041801,75.0,0.209,30,40,45,True,True,0.5470383275260865,0.4075342465753418,50,16.7,0.0,-0.8119553684151306,0.0,0,-0.209,-40,-0.7000000000007276,80
2026-09-17,NIFTY,RANDOM,176,1,RANDOM,False,15:09:45,15:09-15:12,MODE_A,False,SYNCHRONIZED,False,-1,10,True,[],0,-0.1730852444829103,7.226308957161409,-0.9519688446559881,135.0,0.26,25,40,,True,True,0.8441064638783996,0.09042553191489447,15,-0.7349762213575517,7.133592736705577,-1.037613488975359,130.0,0.1731,20,35,,True,True,0.7832699619770443,0.10638297872340419,20,88.4,52.5,0.741867374093215,1.0,-1,-0.2599,-10,-0.0,315
2026-09-17,NIFTY,RANDOM,212,-1,RANDOM,False,15:12:45,15:12-15:15,MODE_A,False,OPTION_RESPONSE_LAG,False,,5,False,['OPTION_NOT_RESPONDING'],,-3.870967741935484,0.5161290322580596,-9.247311827956988,240.0,0.2153,10,,,False,False,0.339285714284763,0.5,10,-3.6637931034482754,0.7327586206896503,-9.051724137931034,235.0,0.2157,5,,,False,False,0.3214285714291747,0.35294117647058726,15,85.4,96.8,0.725649968192871,0.0,,-0.1301,-5,-0.0,135
2026-09-17,NIFTY,RANDOM,117,-1,RANDOM,False,15:04:50,15:03-15:06,MODE_A,False,SYNCHRONIZED,False,1,20,False,['NO_DIRECTIONAL_AGREEMENT'],,1.0416666666666665,1.0416666666666665,-6.416666666666669,135.0,0.2503,5,5,,True,True,0.03759398496239779,0.6789473684210514,25,-0.6995884773662505,-0.6995884773662505,-7.572016460905353,130.0,0.206,,,,False,False,0.5864661654136243,1.0,30,22.6,6.3,0.2722069715874982,1.0,1,-0.2504,-20,-0.0,610
2026-09-17,NIFTY,RANDOM,201,1,RANDOM,False,15:11:50,15:09-15:12,MODE_A,False,NO_CLEAR_ONSET,False,,45,False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,0.30408340573415166,7.645525629887065,-0.5647263249348319,10.0,0.261,20,30,45,True,True,1.0,0.0,50,-1.037613488975359,7.133592736705577,-1.037613488975359,5.0,0.1731,25,25,45,True,False,1.0,0.020408163265305784,55,40.8,0.0,-0.38815828528602314,0.0,,-0.3034,-45,-1.5499999999992724,190
2026-09-17,NIFTY,RANDOM,59,1,RANDOM,False,15:00:00,15:00-15:03,MODE_A,False,NO_CLEAR_ONSET,False,,0,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.5424954792043348,4.837251356238706,-1.8083182640144666,15.0,0.181,35,40,45,True,False,1.0,0.0,5,-0.2721088435374124,5.1700680272108865,-1.4965986394557875,10.0,0.227,25,30,35,True,False,1.0,0.0,10,39.2,0.0,-0.823364515670287,0.0,,-0.1796,0,-0.0,900
2026-09-17,NIFTY,RANDOM,218,1,RANDOM,False,15:13:15,15:12-15:15,MODE_A,False,SYNCHRONIZED,False,0,55,False,['NOT_EARLY'],,-0.04182350480970068,3.6386449184441725,-0.5855290673358451,105.0,0.2513,5,60,75,True,True,0.5973333333333721,0.42405063291139317,60,-1.078390709249272,2.7789299046039058,-1.41020323517213,100.0,0.2492,65,70,70,False,False,0.43733333333337215,0.5506329113924058,65,16.7,0.0,-0.10626992561105207,1.0,0,-0.1699,-55,-0.4500000000007276,105
2026-09-17,NIFTY,RANDOM,96,-1,RANDOM,False,15:03:05,15:03-15:06,MODE_A,False,NO_CLEAR_ONSET,False,,10,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,0.9883970777825576,4.21143102707349,-3.4808766652342045,240.0,0.2151,10,25,90,True,True,1.0,0.0,15,0.7286755250750058,3.943420488641229,-3.7291041577368267,235.0,0.3005,5,20,90,True,True,1.0,0.0,20,42.9,0.0,0.12623812639606996,1.0,,-0.2534,-10,-0.6499999999978172,715
2026-09-17,NIFTY,RANDOM,171,1,RANDOM,False,15:09:20,15:09-15:12,MODE_A,False,FALSE_OPTION_MOVE,False,,35,False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.9922346850733439,4.227782571182046,-1.2510785159620386,10.0,0.2159,50,65,,False,False,0.9180327868852264,0.27208480565371174,40,-0.47826086956521496,5.39130434782609,-0.47826086956521496,5.0,0.2176,40,45,60,True,True,1.0,0.13666666666666744,45,14.6,45.0,-0.2567390930058707,0.0,,-0.2146,-35,-0.0,340
2026-09-17,NIFTY,RANDOM,153,-1,RANDOM,False,15:07:50,15:06-15:09,MODE_A,False,OPTION_LEAD,False,5,5,True,[],0,0.47250859106528964,3.1786941580755914,-2.4054982817869512,45.0,0.215,95,,,False,False,0.3617021276596733,0.49354838709677457,10,1.1678200692041598,3.8927335640138407,-1.7301038062283738,40.0,0.1732,5,5,,True,True,0.3617021276596733,0.3935483870967738,15,87.1,97.5,1.5245073273155323,1.0,5,-0.1723,-5,-0.0,430
2026-09-17,NIFTY,RANDOM,100,1,RANDOM,False,15:03:25,15:03-15:06,MODE_A,False,SYNCHRONIZED,False,0,55,False,"['NOT_EARLY', 'NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",,-0.3442340791738431,0.8605851979345954,-4.001721170395874,90.0,0.2585,,,,False,False,0.5344827586208122,0.6790123456790128,60,-0.08695652173912549,1.9130434782608718,-3.000000000000002,85.0,0.2176,25,,,False,False,0.5517241379311137,0.38888888888888984,65,29.1,12.4,0.021570295101785368,0.0,0,-0.2157,-55,-0.2000000000007276,695
