symbol,date,timestamp,underlying_state,underlying_price,underlying_age,closing_state,combination_state,atm_strike,ce_premium,pe_premium,ce_premium_change,pe_premium_change,ce_volume,pe_volume,ce_intraday_oi_change,pe_intraday_oi_change,ce_iv,pe_iv,ce_delta,pe_delta,ce_gamma,pe_gamma,ce_theta,pe_theta,ce_vega,pe_vega,ce_spread_pct,pe_spread_pct,pcr,atm_straddle,ce_premium_trajectory,pe_premium_trajectory,ce_pressure,pe_pressure,option_directional_pressure,option_pressure_label,position_support,risk_state,implied_spot,implied_spot_gap,implied_quality,data_quality
SENSEX,2026-08-25,15:21,STALE,77529.94,6,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,263.725,227.7,4.569786,-7.391967,11601180.0,2855440.0,-9980.0,5240.0,15.023341,2.614097,0.40623,-0.91869,0.00042,0.00095,-87.51748,14.24549,23.56908,9.14503,0.360224,0.263505,0.955935,491.425,ACCELERATING,ACCELERATING,0.306286,-0.296902,0.534242,UP,,,77808.233783,278.293783,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:22,STALE,77529.94,7,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,261.425,226.95,-0.872121,-0.329381,11644020.0,2887660.0,0.0,0.0,14.892238,2.398188,0.40536,-0.93606,0.00043,0.00086,-86.78107,15.87651,23.55278,7.60528,0.325141,0.308438,0.955935,488.375,FLAT,DECELERATING,0.123141,-0.30361,0.454912,UP,,,77806.414819,276.474819,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:23,STALE,77529.94,8,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,255.425,235.375,-2.295113,3.712271,11671760.0,2907760.0,0.0,0.0,14.671737,3.231599,0.40387,-0.87067,0.00043,0.00107,-85.53312,9.32523,23.5274,12.80442,0.293628,0.191184,0.955935,490.8,RISING,FALLING,0.103093,0.003102,0.321486,UP,,,77791.817323,261.877323,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:24,STALE,77529.94,9,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,250.425,236.875,-1.957522,0.637281,11739920.0,2931040.0,-16580.0,-7500.0,14.423345,3.437849,0.40215,-0.85586,0.00044,0.00109,-84.12343,7.66405,23.49805,13.78824,0.339423,0.316623,0.966549,487.3,DECELERATING,DECELERATING,-0.361847,-0.024611,-0.43856,DOWN,,,77785.787637,255.847637,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:25,STALE,77529.94,10,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,255.225,233.7,1.916742,-1.340369,11769020.0,2945960.0,0.0,0.0,14.636401,3.000726,0.40359,-0.88824,0.00044,0.00104,-85.3521,11.19263,23.51592,11.54959,0.333039,0.385109,0.966549,488.925,FALLING,RISING,-0.148937,-0.061314,-0.325232,DOWN,,,77792.232927,262.292927,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:26,STALE,77529.94,11,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,246.5,238.6,-3.418552,2.096705,11812600.0,2978320.0,-6920.0,9440.0,14.296316,3.487474,0.40122,-0.8525,0.00045,0.00109,-83.41632,7.26935,23.47663,13.99891,0.365112,0.293378,0.957234,485.1,ACCELERATING,ACCELERATING,-0.346083,0.027303,-0.403444,DOWN,,,77778.992533,249.052533,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:27,STALE,77529.94,12,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,247.525,237.175,0.415822,-0.597234,11833940.0,2993940.0,0.0,0.0,14.305155,3.407498,0.40126,-0.85816,0.00045,0.00109,-83.47699,7.91486,23.47363,13.6328,0.2222,0.14757,0.957234,484.7,FALLING,FLAT,-0.287996,0.038526,-0.228777,NEUTRAL,,,77782.180844,252.240844,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:28,STALE,77529.94,13,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,257.175,226.45,3.898596,-4.521977,11862060.0,3018620.0,0.0,0.0,14.763094,2.434976,0.40438,-0.93339,0.00043,0.00087,-86.10762,15.61994,23.51651,7.84368,0.213862,0.264959,0.957234,483.625,ACCELERATING,ACCELERATING,0.21259,-0.10529,0.364686,UP,,,77802.544205,272.604205,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:29,STALE,77529.94,14,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,77800.0,258.4,223.875,0.476329,-1.137116,11897120.0,3052760.0,-2660.0,460.0,14.778378,1.9516,0.40446,-0.96955,0.00043,0.00058,-86.20543,18.83179,23.51406,4.18043,0.309598,0.245673,0.940819,482.275,DECELERATING,DECELERATING,0.32788,-0.047909,0.455801,UP,,,77806.581972,276.641972,OK,STALE_UNDERLYING|INVALID_GREEKS
SENSEX,2026-08-25,15:30,CLOSING_STATE_UNCERTAIN,77656.09,15,CLOSING_STATE_UNCERTAIN,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_DATA,,,,,INVALID,MISSING_OPTION_DATA|STALE_UNDERLYING
NIFTY,2026-08-27,15:15,LIVE,24133.05,0,NORMAL_CONTINUOUS,OPTIONS_CONFIRM,24200.0,108.725,93.275,-1.961226,1.689834,142137580.0,209435005.0,-8905.0,-28405.0,10.755951,6.577497,0.46139,-0.56557,0.00128,0.00207,-14.7977,-3.37284,11.48842,11.38626,0.137963,0.268025,0.666379,202.0,ACCELERATING,ACCELERATING,-0.332759,0.501864,-0.580577,DOWN,,,24193.864761,60.814761,OK,OK
NIFTY,2026-08-27,15:16,STALE,24133.05,1,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,24200.0,108.6,92.825,-0.114969,-0.482444,142468170.0,210017015.0,-58565.0,-82940.0,10.743786,6.564528,0.46133,-0.56572,0.00128,0.00207,-14.78464,-3.35785,11.4875,11.3848,0.092081,0.269324,0.661976,201.425,DECELERATING,RISING,-0.439406,0.391716,-0.568471,DOWN,,,24193.91772,60.86772,OK,STALE_UNDERLYING
NIFTY,2026-08-27,15:17,STALE,24133.05,2,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,24200.0,108.375,92.25,-0.207182,-0.619445,142707955.0,210285920.0,-14755.0,-48490.0,10.709855,6.498841,0.46119,-0.56642,0.00128,0.00209,-14.74698,-3.28049,11.48632,11.38066,0.230681,0.216802,0.659005,200.625,FALLING,RISING,-0.247084,0.189782,-0.351598,DOWN,,,24194.726098,61.676098,OK,STALE_UNDERLYING
NIFTY,2026-08-27,15:18,STALE,24133.05,3,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,24250.0,87.775,110.8,4.060462,-6.201058,82743440.0,96882435.0,5070.0,-2470.0,10.772757,5.275739,0.39872,-0.70337,0.00124,0.00227,-14.08131,-0.35236,11.16632,10.00618,0.170891,0.270758,0.553137,198.575,ACCELERATING,ACCELERATING,0.323115,-0.087208,0.466368,UP,,,24205.047464,71.997464,OK,STALE_UNDERLYING|INVALID_GREEKS
NIFTY,2026-08-27,15:19,STALE,24133.05,4,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,24250.0,89.1,110.35,1.509541,-0.406137,82995380.0,96997030.0,-46995.0,-17290.0,10.898985,5.25076,0.39991,-0.70428,0.00123,0.00227,-14.23314,-0.31584,11.17437,9.99138,0.112233,0.181242,0.551683,199.45,DECELERATING,DECELERATING,0.43662,-0.196892,0.543279,UP,,,24207.132029,74.082029,OK,STALE_UNDERLYING|INVALID_GREEKS
NIFTY,2026-08-27,15:20,STALE,24133.05,5,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,24200.0,104.5,96.625,-8.49387,12.91265,144216345.0,212042090.0,-31265.0,1885.0,10.399004,6.89899,0.45985,-0.56246,0.00132,0.00197,-14.39724,-3.75331,11.48021,11.39699,0.191388,0.258732,0.658366,201.125,ACCELERATING,ACCELERATING,-0.433653,0.392499,-0.598593,DOWN,,,24186.090432,53.040432,OK,STALE_UNDERLYING
NIFTY,2026-08-27,15:21,STALE,24133.05,6,OPTIONS_ACTIVE_UNDERLYING_STALE,UNDERLYING_UNAVAILABLE_OPTIONS_AVAILABLE,24200.0,103.575,96.55,-0.885167,-0.07762,144876030.0,212915885.0,-77870.0,-40105.0,10.304045,6.864117,0.45943,-0.5628,0.00133,0.00198,-14.2903,-3.7127,11.47821,11.39467,0.144823,0.207147,0.659584,200.125,DECELERATING,RISING,-0.3392,0.358803,-0.565974,DOWN,,,24185.736953,52.686953,OK,STALE_UNDERLYING
