max_adverse_pct,t_max_adverse,max_favourable_pct,t_max_favourable,end_ret_pct,adverse1_before_fav1,symbol,date,cohort,option_type,minute,action
-88.86844526218951,16,7.359705611775524,1,-81.50873965041399,False,NIFTY,2026-08-11,11D_SHAPED_1500_1519,CE,15:02,PREPARE_EXIT
-10.290237467018482,3,32.5857519788918,18,17.348284960422134,True,NIFTY,2026-08-11,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-98.83870967741936,14,0.0,1,-98.83870967741936,True,NIFTY,2026-08-11,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-40.47217537942663,5,22.48454187745925,2,-31.928049465992125,False,NIFTY,2026-08-11,CLOSING_1515_1529,PE,15:19,PREPARE_EXIT
-1.3208005834211,16,3.7436188315371766,2,-1.3208005834211,False,SENSEX,2026-08-11,11D_SHAPED_1500_1519,CE,15:03,BREAK_EXIT
-1.6616437240368098,5,4.2111264967011675,4,2.1503624664005905,False,SENSEX,2026-08-11,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-9.117128665277995,13,0.0,1,-9.117128665277995,True,SENSEX,2026-08-11,CLOSING_1515_1529,CE,15:16,PREPARE_EXIT
0.0,1,2.556011360050503,4,1.6961186494162117,False,SENSEX,2026-08-11,CLOSING_1515_1529,PE,15:23,BREAK_EXIT
-9.295952782462047,8,0.8220910623946143,13,-0.6745362563237767,True,NIFTY,2026-08-12,11D_SHAPED_1500_1519,CE,15:01,PREPARE_EXIT
-3.1015218647659437,15,8.245039491427475,9,-2.8896166441918725,False,NIFTY,2026-08-12,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-2.695871946082562,2,1.8112889637742047,6,1.5374894692502084,True,NIFTY,2026-08-12,CLOSING_1515_1529,CE,15:15,PREPARE_EXIT
-2.2862823061630233,14,2.0079522862822774,2,-2.2862823061630233,False,NIFTY,2026-08-12,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
-15.313088512241047,4,2.660075329566869,10,-2.106873822975497,True,SENSEX,2026-08-12,11D_SHAPED_1500_1519,CE,15:01,PREPARE_EXIT
-7.853750138075766,15,7.699105268971618,5,-7.787473765602559,False,SENSEX,2026-08-12,11D_SHAPED_1500_1519,PE,15:00,BREAK_EXIT
-5.092927830074833,1,6.854936036688386,6,5.599806903210225,True,SENSEX,2026-08-12,CLOSING_1515_1529,CE,15:16,PREPARE_EXIT
-8.091584751858072,13,4.039798609446166,2,-7.875809158475189,False,SENSEX,2026-08-12,CLOSING_1515_1529,PE,15:15,BREAK_EXIT
0.0,7,5.753052917232027,14,5.427408412483037,False,NIFTY,2026-08-13,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-6.345583200182626,18,0.8902077151335286,6,-6.345583200182626,True,NIFTY,2026-08-13,11D_SHAPED_1500_1519,PE,15:01,PREPARE_EXIT
-3.1989596879063553,8,1.040312093628093,4,-0.2600780234070177,False,NIFTY,2026-08-13,CLOSING_1515_1529,CE,15:15,PREPARE_EXIT
-2.8185693983894144,3,2.8422548555187,9,-1.8948365703458037,True,NIFTY,2026-08-13,CLOSING_1515_1529,PE,15:16,PREPARE_EXIT
-39.89949748743719,19,45.326633165829165,2,-39.89949748743719,False,SENSEX,2026-08-13,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-19.10702560735391,5,13.591595535128032,13,3.676953381483883,True,SENSEX,2026-08-13,11D_SHAPED_1500_1519,PE,15:01,BREAK_EXIT
-75.96754057428214,9,303.80774032459436,14,303.80774032459436,False,SENSEX,2026-08-13,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
-98.54714064914992,12,14.281298299845457,3,-98.54714064914992,True,SENSEX,2026-08-13,CLOSING_1515_1529,PE,15:17,BREAK_EXIT
-5.792577176552194,6,2.254595907041246,13,1.7689906347554407,False,NIFTY,2026-08-14,11D_SHAPED_1500_1519,CE,15:00,PREPARE_EXIT
0.0,11,4.679144385026746,9,0.3208556149732811,False,NIFTY,2026-08-14,11D_SHAPED_1500_1519,PE,15:08,BREAK_EXIT
-4.234640749739693,1,1.8396390142311647,3,-1.2842762929538565,True,NIFTY,2026-08-14,CLOSING_1515_1529,CE,15:16,PREPARE_EXIT
-0.6881948120698533,4,3.6262572789836023,2,2.9645314981471715,False,NIFTY,2026-08-14,CLOSING_1515_1529,PE,15:15,PREPARE_EXIT
-0.6468483347095932,6,5.814753647123605,19,5.814753647123605,False,SENSEX,2026-08-14,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
0.0,1,4.5518029456577125,4,2.640934484509927,False,SENSEX,2026-08-14,11D_SHAPED_1500_1519,PE,15:02,BREAK_EXIT
-0.28664755682954457,1,2.5064995666955525,2,0.14665688954071943,False,SENSEX,2026-08-14,CLOSING_1515_1529,CE,15:17,BREAK_EXIT
-1.459673428995556,7,1.212271152894595,10,1.212271152894595,False,SENSEX,2026-08-14,CLOSING_1515_1529,PE,15:19,PREPARE_EXIT
0.0,19,17.586837294332724,12,2.0840950639853695,False,NIFTY,2026-08-17,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-2.093944538766268,1,8.488964346349736,17,8.488964346349736,True,NIFTY,2026-08-17,11D_SHAPED_1500_1519,PE,15:02,PREPARE_EXIT
-23.544564657393117,14,0.0,1,-23.544564657393117,True,NIFTY,2026-08-17,CLOSING_1515_1529,CE,15:15,BREAK_EXIT
0.0,2,16.244870041039672,5,16.244870041039672,False,NIFTY,2026-08-17,CLOSING_1515_1529,PE,15:24,BREAK_EXIT
0.0,1,8.014571948998196,12,1.3281724347298018,False,SENSEX,2026-08-17,11D_SHAPED_1500_1519,CE,15:00,BREAK_EXIT
-2.283142389525372,10,4.566284779050744,16,4.263502454991808,True,SENSEX,2026-08-17,11D_SHAPED_1500_1519,PE,15:02,BREAK_EXIT
-12.562526797198814,14,0.0,1,-12.562526797198814,True,SENSEX,2026-08-17,CLOSING_1515_1529,CE,15:15,PREPARE_EXIT
0.0,2,8.771379256237255,3,8.771379256237255,False,SENSEX,2026-08-17,CLOSING_1515_1529,PE,15:26,BREAK_EXIT
