date,time,symbol,direction,event_type,strength,mode,expiry_day,option,passed_gates,reasons,categories,cf_active_exit_pct,cf_exit_reason,mfe_pct,mae_pct,fut_mfe_after_det,fut_mae_after_det,timing,status,option_response_pct
2026-09-17,15:25:15,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_B,True,CE 74500,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,expiry/time;confirmation,-13.561,EXPIRY_ZONE_EXIT,7.938,-99.89,1.5,-41.05,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),-11.842
2026-09-17,15:25:30,SENSEX,UP,MOMENTUM_EVENT,STRONG,MODE_B,True,CE 74400,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;OPTION_NOT_RESPONDING;NO_CONFIRMATION,expiry/time;confirmation,4.932,EXPIRY_ZONE_EXIT,30.448,-99.899,0.0,-42.55,NO_FOLLOW_THROUGH,PROFITABLE (other),-27.899
2026-09-18,14:56:25,NIFTY,DOWN,MOMENTUM_EVENT,STRONG,PRE,False,PE 23450,False,TIME_WINDOW_CLOSED;OPTION_NOT_RESPONDING,expiry/time;confirmation,-0.275,EVENT_INVALIDATED,6.331,-4.168,11.3,-17.5,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),0.256
2026-09-18,14:57:30,NIFTY,DOWN,MOMENTUM_EVENT,STRONG,PRE,False,PE 23400,False,TIME_WINDOW_CLOSED,expiry/time,-0.148,EVENT_INVALIDATED,4.586,-6.065,8.9,-19.9,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),1.806
2026-09-18,14:58:45,NIFTY,UP,REVERSAL_EVENT,WEAK,PRE,False,CE 23450,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;NO_CONFIRMATION,expiry/time;confirmation,-0.162,FUTURES_DIVERGENCE,0.243,-15.085,5.4,-23.4,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),6.247
2026-09-18,15:00:05,NIFTY,DOWN,REVERSAL_EVENT,WEAK,MODE_A,False,PE 23450,False,WEAK_MOMENTUM,confirmation,1.427,TRAIL_STOP,4.321,0.039,16.9,0.0,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,2.798
2026-09-18,15:00:20,NIFTY,DOWN,MOMENTUM_EVENT,STRONG,MODE_A,False,PE 23400,True,RISK_TOO_LARGE,risk,-0.484,FUTURES_DIVERGENCE,2.662,-1.597,13.8,-3.1,DETECTED_EARLY,GENUINELY BAD SIGNAL (would have lost),5.557
2026-09-18,15:01:20,NIFTY,DOWN,CONTINUATION_EVENT,STRONG,MODE_A,False,PE 23400,True,RISK_TOO_LARGE,risk,-1.068,EVENT_INVALIDATED,3.011,-1.603,1.9,-12.1,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),5.103
2026-09-18,15:02:20,NIFTY,DOWN,CONTINUATION_EVENT,STRONG,MODE_A,False,PE 23400,False,NO_CONFIRMATION,confirmation,-0.576,TIME_EXIT,1.824,-2.736,9.0,-5.0,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),5.625
2026-09-18,15:03:30,NIFTY,UP,REVERSAL_EVENT,WEAK,MODE_A,False,CE 23400,False,WEAK_MOMENTUM,confirmation,-0.131,EVENT_INVALIDATED,0.721,-9.443,0.1,-17.3,DETECTED_LATE,GENUINELY BAD SIGNAL (would have lost),1.373
2026-09-18,15:04:35,NIFTY,DOWN,REVERSAL_EVENT,WEAK,MODE_A,False,PE 23350,False,WEAK_MOMENTUM;NO_CONFIRMATION,confirmation,0.435,EVENT_INVALIDATED,8.442,-3.352,12.0,-6.0,DETECTED_EARLY,MISSED PROFITABLE OPPORTUNITY,1.359
