date,time,symbol,direction,event_type,strength,mode,window,expiry_day,passed_gates,reasons,first_gate,all_gates,traded_lots,traded_units,category,timing,cf_pnl,cf_exit_reason,mfe,mae,t_mfe,spread,detect_after_start_s,remaining_at_entry,fut_r30,fut_accel,displacement,ce_ret30,pe_ret30,ce_acc,pe_acc,sel_spread,sel_volume30,sel_oi_change30,option_response,response_latency_s,risk_blocked
2026-09-17,15:14:25,NIFTY,DOWN,REVERSAL_EVENT,WEAK,MODE_A,15:12-15:15,False,False,WEAK_MOMENTUM;OPTION_NOT_RESPONDING,CONFIRMATION,CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-1.0036496350364912,EVENT_INVALIDATED,3.0109489051094998,-3.740875912408754,30.0,0.2741,35.0,0.7238095238093852,-8.799999999999272,3.2000000000007276,-8.799999999999272,1.1727748691099524,-1.4968082764692958,1.0043241099531361,-2.542736773938498,0.0447,273195.0,0.0,-1.4968082764692958,10,False
2026-09-17,15:15:40,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;OPTION_NOT_RESPONDING,WINDOW,WINDOW;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.2642706131078224,EVENT_INVALIDATED,2.7484143763213624,-1.5856236786469347,220.0,0.2116,35.0,0.6068965517240877,14.400000000001455,-14.599999999998545,14.400000000001455,0.2506265664160377,-1.893095768374165,0.2088074993637201,-0.9200491293693587,0.2657,101140.0,0.0,0.48064085447263327,75,False
2026-09-17,15:16:30,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),True,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,WINDOW,WINDOW;CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-2.237591537835639,EXPIRY_ZONE_EXIT,7.16029292107403,-56.2245728234337,170.0,0.326,35.0,0.33364398881633034,33.64999999999418,-31.64999999999418,33.64999999999418,10.63964534515515,-10.514655760054522,17.90804995673091,-12.026651708105227,0.1206,1096160.0,0.0,9.722222222222214,25,False
2026-09-17,15:17:40,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,WINDOW,WINDOW;CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-0.09045680687471218,EVENT_INVALIDATED,1.492537313432841,-2.5780189959294386,135.0,0.2717,35.0,0.05042016806740415,-8.200000000000728,7.999999999996362,-8.200000000000728,-0.6134969325153374,1.913652275379227,2.2200037413005127,-3.2041821152975656,0.1374,259220.0,0.0,1.913652275379227,10,False
2026-09-17,15:18:35,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),True,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,PROFITABLE_BUT_LATE,DETECTED_LATE,1.1426465167710893,EXPIRY_ZONE_EXIT,4.128271286398816,-64.87283450055288,15.0,0.2584,35.0,0.11111111111103036,-35.60000000000582,-35.60000000000582,-35.60000000000582,-2.914663461538458,-2.523826332509719,-11.268167316554397,6.9724477389496755,0.2535,836080.0,-106200.0,-2.523826332509719,,False
2026-09-17,15:18:45,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.4536082474226781,EVENT_INVALIDATED,1.525773195876284,-4.4123711340206135,35.0,0.0412,35.0,0.8285714285714979,10.5,6.69999999999709,10.5,0.768431983385252,-0.09035464196972606,2.4853557322655977,-2.424889425758315,0.0824,193765.0,0.0,0.768431983385252,50,False
2026-09-17,15:19:55,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING;NO_CONFIRMATION,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,PROFITABLE_OPPORTUNITY,DETECTED_EARLY,0.2504173622704484,EVENT_INVALIDATED,1.6277128547579325,-3.255425709515853,10.0,0.1253,35.0,0.9888888888890506,9.0,7.0,9.0,-0.5130309870716191,0.2710027100270977,-1.7780833831857596,2.042754706426093,0.2475,347230.0,-81185.0,-0.5130309870716191,5,False
2026-09-17,15:22:20,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),True,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,NO_FOLLOW_THROUGH,NO_FOLLOW_THROUGH,-13.163972286374126,EXPIRY_ZONE_EXIT,80.715935334873,-62.586605080831404,135.0,0.405,35.0,0.0,35.39999999999418,32.10000000000582,35.39999999999418,-23.737854829491326,-3.411710465652377,19.652675802864554,-0.30599365338498496,0.3497,1732880.0,0.0,-23.737854829491326,,False
2026-09-17,15:23:50,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,PROFITABLE_OPPORTUNITY,DETECTED_EARLY,0.04215851602024567,EVENT_INVALIDATED,1.8128161888701568,-2.1079258010118047,50.0,0.2533,35.0,1.010526315789512,8.299999999999272,7.299999999999272,8.299999999999272,-0.5504975651069284,1.6853932584269662,2.856879799063231,-2.352868385883285,0.2129,281515.0,-151515.0,-0.5504975651069284,60,False
2026-09-17,15:24:15,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),True,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,NO_FOLLOW_THROUGH,NO_FOLLOW_THROUGH,-12.693498452012394,EXPIRY_ZONE_EXIT,76.57378740970071,-91.95046439628484,240.0,1.5601,35.0,0.0,-43.19999999999709,-32.80000000000291,-43.19999999999709,-2.8071234530636917,-15.258855585831071,2.868373124521856,-10.217738734242646,0.3573,1633160.0,0.0,-15.258855585831071,5,False
2026-09-17,15:24:50,NIFTY,UP,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,WINDOW,WINDOW;CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.4170141784820684,FUTURES_DIVERGENCE,0.6255212677231026,-3.5446205170975813,25.0,0.1669,35.0,0.7085714285715117,10.099999999998545,-6.5,10.099999999998545,1.2568077084206117,-3.1795790416480174,0.961927129687938,-0.6515649045427374,0.1655,223145.0,-24115.0,1.2568077084206117,30,False
2026-09-17,15:25:15,SENSEX,UP,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),True,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-13.561190738699006,EXPIRY_ZONE_EXIT,7.938257993384788,-99.88974641675856,10.0,0.7748,35.0,0.23934426229501835,44.25,44.25,44.25,-8.094327597195676,-11.79554390563565,25.5157395112967,-8.813412610185102,0.1956,4149600.0,0.0,-11.842483472262142,,False
2026-09-17,15:25:30,SENSEX,UP,MOMENTUM_EVENT,STRONG,MODE_B,MODE B 15:15-15:30 (research only),True,False,EXPIRY_DAY_CLOSE_VETO;MODE_B_RESEARCH_ONLY;OPTION_NOT_RESPONDING;NO_CONFIRMATION,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,NO_FOLLOW_THROUGH,NO_FOLLOW_THROUGH,4.932058379466539,EXPIRY_ZONE_EXIT,30.44791142425768,-99.89934574735783,75.0,0.5045,35.0,0.0,45.75,-42.75,45.75,-27.899032074397418,21.837549933422114,-43.60710356996106,46.344547042774074,0.2632,2836960.0,0.0,-27.899032074397418,5,False
2026-09-17,15:26:45,NIFTY,DOWN,MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;WEAK_MOMENTUM,WINDOW,WINDOW;CONFIRMATION,False,False,GENUINELY_BAD_SIGNAL,DETECTED_LATE,-1.9315673289183224,EVENT_INVALIDATED,1.9315673289183224,-1.9315673289183224,165.0,0.3317,35.0,0.34640522875813884,-9.400000000001455,-1.4000000000014552,-9.400000000001455,-0.902792357757718,1.280878316559932,-1.3620738197956286,0.6832689834032473,0.1103,158470.0,0.0,1.5393226980128742,30,False
2026-09-17,15:27:20,NIFTY,UP,MOMENTUM_EVENT,STRONG,MODE_B,MODE B 15:15-15:30 (research only),False,False,MODE_B_RESEARCH_ONLY;OPTION_NOT_RESPONDING,WINDOW,WINDOW;OPTION_RESPONSE,False,False,NO_FOLLOW_THROUGH,NO_FOLLOW_THROUGH,-0.6715916722632639,EVENT_INVALIDATED,-0.3693754197448028,-2.8206850235057197,15.0,0.269,35.0,0.0,14.200000000000728,16.200000000000728,14.200000000000728,0.5485232067510597,-0.5883684091423322,0.25257346634206523,-0.949050890324971,0.2687,75660.0,0.0,0.7956661587946388,20,False
2026-09-18,14:55:40,SENSEX,DOWN,MOMENTUM_EVENT,WEAK,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;WEAK_MOMENTUM;OPTION_NOT_RESPONDING,WINDOW,WINDOW;CONFIRMATION;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.03729487817005899,FUTURES_DIVERGENCE,2.9587270014918037,-3.4808552958727,300.0,0.1244,35.0,0.61804613297157,-28.14999999999418,-28.14999999999418,-28.14999999999418,-0.568148878195848,0.49573293172691335,0.568148878195848,-0.6333974986430126,0.2123,17180.0,0.0,0.49573293172691335,65,False
2026-09-18,14:56:25,NIFTY,DOWN,MOMENTUM_EVENT,STRONG,PRE,PRE 14:55-15:00,False,False,TIME_WINDOW_CLOSED;OPTION_NOT_RESPONDING,WINDOW,WINDOW;OPTION_RESPONSE,False,False,GENUINELY_BAD_SIGNAL,DETECTED_EARLY,-0.2752654345261569,EVENT_INVALIDATED,6.331104994101441,-4.168305151395998,280.0,0.1574,35.0,0.5525291828793901,-14.400000000001455,-4.599999999998545,-14.400000000001455,-0.9052504526252263,-0.100679587213701,0.239486136435012,0.2014353122548747,0.1965,78455.0,0.0,0.25610717100077907,70,False
