date,symbol,time,i,dir,family,mode,window,expiry,approved,reasons,approved_v1,reasons_v1,anat_onset_to_det_s,anat_pre_fut,anat_fut_mfe_after,anat_fut_consumed,anat_pre_opt,anat_opt_mfe_after,anat_opt_consumed,anat_det_to_entry_opt,anat_t_fut_peak_after_det,anat_resp_f_before_det,anat_resp_o_before_det,anat_resp_lag_bars,anat_acc_both_before,anat_cls,anat_fade,anat_fade_ratio,sim5_entry_ask,sim5_spread_in,sim5_spread_out,sim5_pnl,sim5_reason,sim5_hold,sim5_peak,sim5_mfe,sim5_mae,sim5_t_mfe,sim5_t_mae,sim5_capture,sim5_plan_ask
2026-09-17,NIFTY,15:02:00,83,-1,C_OPTION_LEADS,MODE_A,15:00-15:03,False,True,[],True,[],30,2.9500000000007276,1.5499999999992724,0.6555555555557172,1.9509125235997509,0.7818930041152287,0.7138863354213849,0.7818930041152287,5,False,True,,False,FALSE_OPTION_MOVE,False,0.0,122.6,0.245,0.2906,-1.9168026101141882,EVENT_INVALIDATED,25.0,0.0,-0.6117455138662317,-8.401305057096247,10.0,300.0,,121.65
2026-09-17,NIFTY,15:02:40,91,1,E_BOTH_CONFIRM,MODE_A,15:00-15:03,False,False,['NOT_EARLY'],True,[],35,5.700000000000728,10.399999999997817,0.35403726708082256,2.0222222222222275,2.2435199302983997,0.4740610543061766,0.13069048137659897,300,True,True,-4,True,OPTION_LEAD,False,0.0,115.05,0.2175,0.2176,-0.2607561929595803,FUTURES_DIVERGENCE,45.0,0.7822685788787533,1.8687527162103483,-3.0421555845284662,260.0,130.0,-0.13953488372092854,114.9
2026-09-17,NIFTY,15:03:35,102,-1,C_OPTION_LEADS,MODE_A,15:03-15:06,False,False,['NO_DIRECTIONAL_AGREEMENT'],False,['NO_DIRECTIONAL_AGREEMENT'],5,0.2999999999992724,3.2999999999992724,0.08333333333316491,1.9574101957410246,2.4261603375527425,0.44653329537513975,-0.12658227848101744,95,False,True,,False,FALSE_OPTION_MOVE,False,0.12371134020618968,118.5,0.2535,0.2563,-1.35021097046413,EVENT_INVALIDATED,20.0,0.12658227848101744,2.320675105485232,-5.232067510548526,75.0,205.0,-0.5818181818181797,118.65
2026-09-17,NIFTY,15:04:35,114,-1,C_OPTION_LEADS,MODE_A,15:03-15:06,False,False,['NO_DIRECTIONAL_AGREEMENT'],False,['NO_DIRECTIONAL_AGREEMENT'],5,1.2000000000007276,5.450000000000728,0.1804511278196188,1.5862808145766298,2.4477737919392326,0.39322244473697665,0.6963494408103,35,False,False,,False,FALSE_OPTION_MOVE,False,0.0,119.45,0.2515,0.3038,-3.6835496023440815,EVENT_INVALIDATED,115.0,1.5069066555043926,1.5069066555043926,-5.9857681038091295,15.0,145.0,-2.4444444444444513,118.65
2026-09-17,NIFTY,15:04:40,115,-1,B_ACCELERATION,MODE_A,15:03-15:06,False,True,[],True,[],10,6.05000000000291,0.5999999999985448,0.9097744360904642,2.1436227224008575,1.888772298006296,0.5316003793161154,0.5666316894018864,30,False,True,-1,False,SYNCHRONIZED,False,0.0,119.95,0.2504,0.206,1.0837849103793222,UNDERLYING_INVALIDATION,10.0,1.0837849103793222,1.0837849103793222,-6.377657357232184,10.0,140.0,1.0,119.3
2026-09-17,NIFTY,15:04:40,115,-1,E_BOTH_CONFIRM,MODE_A,15:03-15:06,False,True,[],True,[],10,6.05000000000291,0.5999999999985448,0.9097744360904642,2.1436227224008575,1.888772298006296,0.5316003793161154,0.5666316894018864,30,False,True,-1,False,SYNCHRONIZED,False,0.0,119.95,0.2504,0.206,1.0837849103793222,UNDERLYING_INVALIDATION,10.0,1.0837849103793222,1.0837849103793222,-6.377657357232184,10.0,140.0,1.0,119.3
2026-09-17,NIFTY,15:04:45,116,-1,A_EARLY_MOMENTUM,MODE_A,15:03-15:06,False,False,['OPTION_NOT_RESPONDING'],False,"['NOT_EARLY', 'OPTION_NOT_RESPONDING']",15,6.200000000000728,0.4500000000007276,0.9323308270675745,2.2936763129689153,1.739312657166809,0.5687286352513196,0.46102263202011495,25,True,True,-1,True,SYNCHRONIZED,False,0.0,120.0,0.2503,0.0845,-1.416666666666669,EVENT_INVALIDATED,20.0,1.0416666666666665,1.0416666666666665,-6.416666666666669,5.0,135.0,-1.3600000000000023,119.45
2026-09-17,NIFTY,15:05:10,121,1,D_UNDERLYING_LEADS,MODE_A,15:03-15:06,False,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",0,0.0,12.900000000001455,0.0,0.6490599820948919,4.380698243273291,0.1290439724957913,1.8234378474538557,155,False,False,,False,FALSE_OPTION_MOVE,False,0.0,114.6,0.2184,0.1315,-0.5235602094240789,MOMENTUM_FAILURE,30.0,0.0,2.2687609075043706,-1.0471204188481578,110.0,25.0,-0.23076923076922784,112.5
2026-09-17,NIFTY,15:07:55,154,-1,E_BOTH_CONFIRM,MODE_A,15:06-15:09,False,True,[],True,[],10,6.0,3.400000000001455,0.6382978723403268,3.4015117830146755,3.3756181466351296,0.5019103688912812,0.6665233283164838,265,True,True,-5,True,OPTION_LEAD,False,0.0,117.15,0.1709,0.2571,-0.5121638924455898,EVENT_INVALIDATED,5.0,0.0,2.5181391378574376,-3.0303030303030396,240.0,35.0,-0.20338983050847825,116.4
2026-09-17,NIFTY,15:08:00,155,-1,A_EARLY_MOMENTUM,MODE_A,15:06-15:09,False,False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",False,"['NO_DIRECTIONAL_AGREEMENT', 'OPTION_NOT_RESPONDING']",15,6.0,3.400000000001455,0.6382978723403268,2.712316585148953,4.069264069264071,0.39995345087932394,1.0389610389610413,260,True,True,-5,True,OPTION_LEAD,False,0.07608695652173798,116.85,0.2571,0.0867,-1.3264869490800146,EVENT_INVALIDATED,5.0,0.0,2.7813436029097134,-2.7813436029097134,235.0,30.0,-0.476923076923076,115.6
