date,symbol,time,i,dir,family,strength,mode,window,expiry,passed,traded_lots,reasons,cf_pnl,cf_mfe,cf_mae,cf_tmfe,cf_tmae,timing,dq,anat_onset_to_det_s,anat_pre_fut,anat_fut_mfe_after,anat_fut_consumed,anat_pre_opt,anat_opt_mfe_after,anat_opt_consumed,anat_det_to_entry_opt,anat_t_fut_peak_after_det,anat_resp_f_before_det,anat_resp_o_before_det,anat_resp_lag_bars,anat_acc_both_before,anat_cls,anat_fade,anat_fade_ratio,sim5_entry_ask,sim5_spread_in,sim5_spread_out,sim5_pnl,sim5_reason,sim5_hold,sim5_peak,sim5_mfe,sim5_mae,sim5_t_mfe,sim5_t_mae,sim5_capture,sim5_plan_ask
2026-09-17,NIFTY,15:18:45,284,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,False,False,False,"['MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING', 'NO_CONFIRMATION']",-0.4536082474226781,1.525773195876284,-4.4123711340206135,35.0,280.0,DETECTED_EARLY,GOOD,40,3.099999999998545,1.0500000000029104,0.7469879518066164,1.6338500209467977,1.5869744435284396,0.5072769531428027,-0.06183017312448709,45,True,True,4,False,UNDERLYING_LEAD,False,0.038461538461539865,121.25,0.0412,0.2069,-0.4536082474226781,EVENT_INVALIDATED,5.0,0.0,1.525773195876284,-4.4123711340206135,35.0,280.0,-0.2972972972972967,121.35
2026-09-17,NIFTY,15:19:55,298,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,False,False,False,"['MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING', 'NO_CONFIRMATION']",0.2504173622704484,1.6277128547579325,-3.255425709515853,10.0,210.0,DETECTED_EARLY,GOOD,5,1.8000000000029104,3.1999999999970896,0.3600000000005821,0.3103662321539416,0.5569306930693045,0.3578546436954702,-1.216996699669974,300,False,True,-10,False,OPTION_LEAD,True,1.4583333333333386,119.8,0.1253,0.291,0.2504173622704484,EVENT_INVALIDATED,5.0,0.2504173622704484,1.6277128547579325,-3.255425709515853,10.0,210.0,0.15384615384615216,121.35
2026-09-17,NIFTY,15:23:50,345,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,False,False,False,"['MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING']",0.04215851602024567,1.8128161888701568,-2.1079258010118047,50.0,295.0,DETECTED_EARLY,GOOD,15,1.6999999999970896,9.650000000001455,0.14977973568258215,1.1630411371957738,2.916755375771767,0.2850733200783603,0.8728975942090745,210,False,True,,False,FALSE_OPTION_MOVE,False,0.0,118.6,0.2533,0.2525,0.04215851602024567,EVENT_INVALIDATED,5.0,0.04215851602024567,1.8128161888701568,-2.1079258010118047,50.0,295.0,0.023255813953493593,117.55
2026-09-17,NIFTY,15:24:50,357,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,False,False,False,"['MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM']",-0.4170141784820684,0.6255212677231026,-3.5446205170975813,25.0,280.0,DETECTED_EARLY,GOOD,45,5.249999999996362,5.200000000000728,0.5023923444973994,3.246475865014949,0.0,1.0,-0.8688456764584173,150,True,True,-3,True,OPTION_LEAD,False,0.2763157894736837,119.9,0.1669,0.2509,-0.4170141784820684,FUTURES_DIVERGENCE,50.0,0.6255212677231026,0.6255212677231026,-3.5446205170975813,25.0,280.0,-0.6666666666666667,120.95
2026-09-17,NIFTY,15:26:45,380,-1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,False,False,False,"['MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM']",-1.9315673289183224,1.9315673289183224,-1.9315673289183224,165.0,20.0,DETECTED_LATE,GOOD,60,2.7000000000007276,6.350000000002183,0.29834254143644856,1.7931034482758648,2.1906052393857243,0.4501090789669173,-0.06775067750677764,130,True,True,2,False,SYNCHRONIZED,False,0.038461538461539865,110.75,0.226,0.275,-1.625282167042887,EVENT_INVALIDATED,20.0,0.0,2.0767494356659117,-1.625282167042887,165.0,20.0,-0.7826086956521737,110.85
2026-09-17,NIFTY,15:27:20,387,1,CURRENT_12A_MOMENTUM_EVENT,STRONG,MODE_B,MODE B 15:15-15:30,False,False,False,"['MODE_B_RESEARCH_ONLY', 'OPTION_NOT_RESPONDING']",-0.6715916722632639,-0.3693754197448028,-2.8206850235057197,15.0,130.0,NO_FOLLOW_THROUGH,GOOD,20,9.549999999999272,0.0,1.0,0.9745762711864454,0.12589173310951865,0.8856016416487645,0.12589173310951865,,True,False,,False,OPTION_NO_RESPONSE,False,0.2571428571428588,119.4,0.1676,0.2106,-0.67001675041877,EVENT_INVALIDATED,5.0,0.0,-0.2512562814070447,-3.1407035175879394,50.0,130.0,,119.25
2026-09-17,SENSEX,15:01:35,78,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_A,15:00-15:03,True,False,False,['WEAK_MOMENTUM'],-9.850993377483437,-3.2698675496688763,-24.62748344370861,5.0,195.0,NO_FOLLOW_THROUGH,GOOD,60,22.02499999999418,1.9500000000116415,0.918665276329044,8.459905275191911,0.49691311549464756,0.9445212469629455,0.49691311549464756,110,True,True,-3,True,OPTION_LEAD,False,0.0,167.05,0.2397,0.1937,-7.392996108949429,STOP_LOSS,15.0,0.0,-2.5142173002095283,-20.502843460041902,5.0,195.0,,166.25
2026-09-17,SENSEX,15:16:30,257,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,True,False,False,"['EXPIRY_DAY_CLOSE_VETO', 'MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM']",-2.237591537835639,7.16029292107403,-56.2245728234337,170.0,240.0,DETECTED_LATE,GOOD,60,32.59999999999127,0.0,1.0,18.06048318972799,22.238122495706943,0.4481664534675343,-3.0337721808815017,,True,True,2,True,SYNCHRONIZED,False,0.19831618334892362,169.65,0.2952,0.3908,-2.1514883583849134,EXPIRY_ZONE_EXIT,5.0,0.0,25.611553197760085,-48.42322428529325,170.0,205.0,-0.08400460299194493,175.5
2026-09-17,SENSEX,15:18:35,282,-1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,True,False,False,"['EXPIRY_DAY_CLOSE_VETO', 'MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING']",1.1426465167710893,4.128271286398816,-64.87283450055288,15.0,205.0,DETECTED_LATE,GOOD,25,5.399999999994179,17.35000000000582,0.2373626373623815,7.913247362250868,2.408111533586831,0.7666865809154304,-1.8830345826543506,295,False,True,,False,FALSE_OPTION_MOVE,False,0.2567901234567899,135.65,0.2584,0.2548,1.1426465167710893,EXPIRY_ZONE_EXIT,5.0,0.0,4.128271286398816,-64.87283450055288,15.0,205.0,0.2767857142857115,138.25
2026-09-17,SENSEX,15:22:20,327,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,True,False,False,"['EXPIRY_DAY_CLOSE_VETO', 'MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING']",-13.163972286374126,80.715935334873,-62.586605080831404,135.0,250.0,NO_FOLLOW_THROUGH,GOOD,20,11.82499999999709,0.9250000000029104,0.9274509803919286,4.136316337148813,56.78241319010742,0.067898926475447,-13.639770172370728,190,True,True,1,True,SYNCHRONIZED,True,3.3888888888888813,86.6,0.405,0.7947,-13.163972286374126,EXPIRY_ZONE_EXIT,5.0,0.0,80.715935334873,-62.586605080831404,135.0,250.0,-0.16309012875536466,100.25
2026-09-17,SENSEX,15:24:15,350,-1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,True,False,False,"['EXPIRY_DAY_CLOSE_VETO', 'MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING']",-12.693498452012394,76.57378740970071,-91.95046439628484,240.0,150.0,NO_FOLLOW_THROUGH,GOOD,60,2.775000000008731,13.55000000000291,0.16998468606473213,2.190580503833516,22.36513040371562,0.08920859640679626,-31.29689174705251,280,True,True,8,True,UNDERLYING_LEAD,True,6.7062937062937,48.45,1.5601,0.5893,-12.693498452012394,EXPIRY_ZONE_EXIT,5.0,0.0,76.57378740970071,-91.95046439628484,240.0,150.0,-0.165768194070081,70.1
2026-09-17,SENSEX,15:25:15,362,1,CURRENT_12A_MOMENTUM_EVENT,WEAK,MODE_B,MODE B 15:15-15:30,True,False,False,"['EXPIRY_DAY_CLOSE_VETO', 'MODE_B_RESEARCH_ONLY', 'WEAK_MOMENTUM', 'OPTION_NOT_RESPONDING']",-13.561190738699006,7.938257993384788,-99.88974641675856,10.0,215.0,DETECTED_LATE,GOOD,60,18.02500000000873,5.149999999994179,0.7777777777780569,79.13043478260869,0.0,1.0,-29.403606102635226,15,True,True,0,False,SYNCHRONIZED,True,0.7212041884816754,102.0,0.3929,0.2632,-7.009803921568633,EXPIRY_ZONE_EXIT,5.0,0.0,27.058823529411757,-99.90196078431373,90.0,235.0,-0.259057971014493,144.95
